====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
      47205.4 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47208.4 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47209.5 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47280.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47360.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47440.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47520.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47600.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47680.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47760.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      47840.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      47920.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      48000.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      48002.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      48080.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      48160.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      48163.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      48163.5 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48240.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48320.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48400.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48480.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48560.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48640.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48720.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48800.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      48880.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
      48960.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      48963.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      48963.6 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49040.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49120.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49122.2 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49122.6 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
      49122.8 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49123.1 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49123.2 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49123.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49124.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49200.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49280.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49282.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49283.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49284.7 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49285.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49360.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49440.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49443.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49443.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49444.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49445.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49520.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49600.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49603.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49604.8 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49680.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49760.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49763.3 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49763.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49766.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49766.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49840.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49920.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49921.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49923.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49924.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      49925.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50000.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50080.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50083.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50084.8 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50160.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50240.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50243.3 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50243.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50246.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50246.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50320.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50400.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50403.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50403.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50404.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50405.2 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50480.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50560.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50563.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50564.8 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50640.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50720.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50723.3 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50723.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50726.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50800.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50880.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50880.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50883.3 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50883.5 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50887.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      50960.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      51040.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      51042.8 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51120.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51200.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51202.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      51203.8 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51280.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51360.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51440.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51520.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51600.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51680.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      51760.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
      51840.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
      51842.9 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      51845.4 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      51848.8 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      51920.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52000.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52080.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52160.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52240.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52320.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52400.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52480.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      52560.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
      52640.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
      52642.1 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      52720.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      52800.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
      52803.1 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
      52803.5 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      52880.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      52960.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      53040.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
      53120.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
